town,candidate,votes
Leominster,All Others,52
Leverett,Obama/ Biden,1004
Leverett,Romney/ Ryan,183
Leverett,Johnson/ Gray,12
Leverett,Stein/ Honkala,39
Leverett,All Others,0
Lexington,Obama/ Biden,12750
Lexington,Romney/ Ryan,5293
Lexington,Johnson/ Gray,137
Lexington,Stein/ Honkala,160
Lexington,All Others,25
Leyden,Obama/ Biden,339
Leyden,Romney/ Ryan,115
Leyden,Johnson/ Gray,4
Leyden,Stein/ Honkala,4
Leyden,All Others,0
Lincoln,Obama/ Biden,2613
Lincoln,Romney/ Ryan,1074
Lincoln,Johnson/ Gray,29
Lincoln,Stein/ Honkala,22
Lincoln,All Others,4
Littleton,Obama/ Biden,2939
Littleton,Romney/ Ryan,2363
Littleton,Johnson/ Gray,75
Littleton,Stein/ Honkala,36
Littleton,All Others,16
Longmeadow,Obama/ Biden,4860
Longmeadow,Romney/ Ryan,4530
Longmeadow,Johnson/ Gray,62
Longmeadow,Stein/ Honkala,39
Longmeadow,All Others,10
Lowell,Obama/ Biden,22771
Lowell,Romney/ Ryan,10643
Lowell,Johnson/ Gray,411
Lowell,Stein/ Honkala,191
Lowell,All Others,65
Ludlow,Obama/ Biden,5240
Ludlow,Romney/ Ryan,4295
Ludlow,Johnson/ Gray,91
Ludlow,Stein/ Honkala,52
Ludlow,All Others,20
Lunenburg,Obama/ Biden,2751
Lunenburg,Romney/ Ryan,3040
Lunenburg,Johnson/ Gray,73
Lunenburg,Stein/ Honkala,36
Lunenburg,All Others,24
Lynn,Obama/ Biden,23124
Lynn,Romney/ Ryan,8512
Lynn,Johnson/ Gray,261
Lynn,Stein/ Honkala,113
Lynn,All Others,66
Lynnfield,Obama/ Biden,2776
Lynnfield,Romney/ Ryan,4420
Lynnfield,Johnson/ Gray,53
Lynnfield,Stein/ Honkala,15
Lynnfield,All Others,7
Malden,Obama/ Biden,15010
Malden,Romney/ Ryan,5730
Malden,Johnson/ Gray,197
Malden,Stein/ Honkala,117
Malden,All Others,51
Manchester-by-the-Sea,Obama/ Biden,1926
Manchester-by-the-Sea,Romney/ Ryan,1559
Manchester-by-the-Sea,Johnson/ Gray,30
Manchester-by-the-Sea,Stein/ Honkala,18
Manchester-by-the-Sea,All Others,5
Mansfield,Obama/ Biden,5932
Mansfield,Romney/ Ryan,5870
Mansfield,Johnson/ Gray,130
Mansfield,Stein/ Honkala,54
Mansfield,All Others,0
Marblehead,Obama/ Biden,6991
Marblehead,Romney/ Ryan,5510
Marblehead,Johnson/ Gray,102
Marblehead,Stein/ Honkala,38
Marblehead,All Others,19
Marion,Obama/ Biden,1727
Marion,Romney/ Ryan,1458
Marion,Johnson/ Gray,33
Marion,Stein/ Honkala,12
Marion,All Others,2
Marlborough,Obama/ Biden,9587
Marlborough,Romney/ Ryan,6870
Marlborough,Johnson/ Gray,188
Marlborough,Stein/ Honkala,75
Marlborough,All Others,41
Marshfield,Obama/ Biden,7046
Marshfield,Romney/ Ryan,7874
Marshfield,Johnson/ Gray,108
Marshfield,Stein/ Honkala,56
Marshfield,All Others,28
